,OCC_CODE,O_GROUP,OCC_TITLE,TOT_EMP,Mean Annual Salary,Median Annual Salary,Entry level education,Work Experience,Training on Job,16 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 64 years,65 years and over,Median age,Women,White,Black or African American,Asian,Hispanic or Latino,Employement change in 10 years
10,11-2030,detailed,public relations and fundraising managers,81110,135580,118430,Bachelor's degree,5 years or more,None,0.0,4.2105263157894735,22.105263157894736,30.526315789473685,21.05263157894737,17.894736842105264,4.2105263157894735,43.0,66.4,91.0,4.3,2.3,7.6,12.6
11,11-3000,minor,operations specialties managers,2012370,138590,125040,No formal educational credential,None,None,3.568592705232403,8.834413006355405,22.536092145723664,21.23373975639143,20.107977521544914,17.0949080106322,6.597297802740213,26.74048913043478,28.98967391304348,49.62635869565217,7.212228260869565,3.900951086956522,10.468342391304347,11.6
12,11-3010,broad,administrative services and facilities managers,307620,108120,98890,Bachelor's degree,Less than 5 years,None,3.568592705232403,8.834413006355405,22.536092145723664,21.23373975639143,20.107977521544914,17.0949080106322,6.597297802740213,26.74048913043478,28.98967391304348,49.62635869565217,7.212228260869565,3.900951086956522,10.468342391304347,8.9
13,11-3010,detailed,administrative services and facilities managers,307620,108120,98890,Bachelor's degree,Less than 5 years,None,3.568592705232403,8.834413006355405,22.536092145723664,21.23373975639143,20.107977521544914,17.0949080106322,6.597297802740213,26.74048913043478,28.98967391304348,49.62635869565217,7.212228260869565,3.900951086956522,10.468342391304347,8.9
14,11-3021,detailed,computer and information systems managers,457290,161730,151150,Bachelor's degree,5 years or more,None,0.0,0.9408602150537635,17.204301075268816,29.838709677419356,30.376344086021504,18.548387096774192,3.0913978494623655,45.4,26.6,75.5,7.0,15.5,5.2,10.9
15,11-3031,detailed,financial managers,653080,151510,134180,Bachelor's degree,5 years or more,None,0.0,2.9793735676088615,20.77922077922078,25.286478227654698,26.814362108479756,19.098548510313215,5.042016806722689,45.4,52.6,79.4,9.7,8.2,9.9,17.3
16,11-3051,detailed,industrial production managers,179570,118190,108790,Bachelor's degree,5 years or more,None,0.0,1.1029411764705883,17.647058823529413,23.897058823529413,33.8235294117647,18.38235294117647,5.147058823529412,47.0,22.6,84.3,5.9,7.2,13.5,5.3
17,11-3061,detailed,purchasing managers,70960,132660,125940,Bachelor's degree,5 years or more,None,0.0,1.4150943396226414,18.39622641509434,22.641509433962263,30.660377358490567,24.056603773584907,2.830188679245283,49.3,45.8,83.2,12.1,3.1,7.3,6.1
18,11-3071,detailed,"transportation, storage, and distribution managers",132210,105100,96390,High school diploma or equivalent,5 years or more,None,0.3333333333333333,3.3333333333333335,23.0,28.666666666666668,26.0,16.666666666666668,2.3333333333333335,44.1,21.3,79.3,10.7,6.1,17.2,8.3
19,11-3111,detailed,compensation and benefits managers,16340,137160,125130,Bachelor's degree,5 years or more,None,0.0,0.0,16.666666666666668,27.77777777777778,33.333333333333336,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
20,11-3121,detailed,human resources managers,156600,134580,121220,Bachelor's degree,5 years or more,None,0.34843205574912894,0.6968641114982579,21.254355400696863,28.9198606271777,25.78397212543554,18.81533101045296,4.878048780487805,45.1,76.8,81.0,12.0,4.9,14.0,9.2
21,11-3131,detailed,training and development managers,38710,125920,115640,Bachelor's degree,5 years or more,None,0.0,0.0,36.53846153846154,36.53846153846154,13.461538461538462,13.461538461538462,1.9230769230769231,39.0,55.8,85.4,9.2,0.2,10.1,10.7
22,11-9000,minor,other management occupations,2569880,106910,95180,No formal educational credential,None,None,3.568592705232403,8.834413006355405,22.536092145723664,21.23373975639143,20.107977521544914,17.0949080106322,6.597297802740213,26.74048913043478,28.98967391304348,49.62635869565217,7.212228260869565,3.900951086956522,10.468342391304347,9.2
23,11-9013,detailed,"farmers, ranchers, and other agricultural managers",5670,76810,68090,High school diploma or equivalent,5 years or more,None,0.22197558268590456,2.3307436182019976,10.099889012208656,14.872364039955604,16.759156492785795,22.86348501664817,32.852386237513876,56.8,25.1,96.3,0.7,0.8,4.3,-0.7
24,11-9021,detailed,construction managers,285640,107260,97180,Bachelor's degree,None,Moderate-term on-the-job training,0.10351966873706005,2.587991718426501,18.012422360248447,26.60455486542443,25.56935817805383,20.28985507246377,6.728778467908903,46.1,8.4,91.4,3.3,2.9,14.5,11.5
25,11-9030,broad,education and childcare administrators,493350,101160,93470,No formal educational credential,None,None,0.31645569620253167,0.7383966244725738,15.50632911392405,28.059071729957807,31.223628691983123,18.565400843881857,5.69620253164557,47.0,66.5,79.5,14.3,3.3,12.0,8.5
26,11-9031,detailed,"education and childcare administrators, preschool and daycare",46410,54940,49160,Bachelor's degree,Less than 5 years,None,3.568592705232403,8.834413006355405,22.536092145723664,21.23373975639143,20.107977521544914,17.0949080106322,6.597297802740213,26.74048913043478,28.98967391304348,49.62635869565217,7.212228260869565,3.900951086956522,10.468342391304347,11.4
27,11-9032,detailed,"education administrators, kindergarten through secondary",262480,103010,98490,Master's degree,5 years or more,None,3.568592705232403,8.834413006355405,22.536092145723664,21.23373975639143,20.107977521544914,17.0949080106322,6.597297802740213,26.74048913043478,28.98967391304348,49.62635869565217,7.212228260869565,3.900951086956522,10.468342391304347,7.8
28,11-9033,detailed,"education administrators, postsecondary",140880,115200,97500,Master's degree,Less than 5 years,None,3.568592705232403,8.834413006355405,22.536092145723664,21.23373975639143,20.107977521544914,17.0949080106322,6.597297802740213,26.74048913043478,28.98967391304348,49.62635869565217,7.212228260869565,3.900951086956522,10.468342391304347,7.5
29,11-9039,detailed,"education administrators, all other",43580,93830,87580,Bachelor's degree,Less than 5 years,None,3.568592705232403,8.834413006355405,22.536092145723664,21.23373975639143,20.107977521544914,17.0949080106322,6.597297802740213,26.74048913043478,28.98967391304348,49.62635869565217,7.212228260869565,3.900951086956522,10.468342391304347,12.6
30,11-9041,detailed,architectural and engineering managers,195900,158100,149530,Bachelor's degree,5 years or more,None,0.0,1.1695906432748537,11.11111111111111,26.31578947368421,25.146198830409357,29.82456140350877,5.847953216374269,49.1,9.5,84.2,3.4,9.5,4.7,4.1
31,11-9051,detailed,food service managers,197010,61000,56590,High school diploma or equivalent,Less than 5 years,None,2.93040293040293,10.164835164835164,24.816849816849818,22.985347985347985,19.963369963369964,13.27838827838828,5.86080586080586,40.2,46.6,77.7,9.8,9.4,19.8,14.9
32,11-9071,detailed,gambling managers,3240,85440,75470,High school diploma or equivalent,Less than 5 years,None,3.568592705232403,8.834413006355405,22.536092145723664,21.23373975639143,20.107977521544914,17.0949080106322,6.597297802740213,26.74048913043478,28.98967391304348,49.62635869565217,7.212228260869565,3.900951086956522,10.468342391304347,20.1
33,11-9081,detailed,lodging managers,31790,65270,56670,High school diploma or equivalent,Less than 5 years,None,0.0,3.252032520325203,18.69918699186992,19.51219512195122,21.951219512195124,24.390243902439025,11.382113821138212,48.0,56.0,74.8,12.4,10.4,11.2,8.7
34,11-9111,detailed,medical and health services managers,402540,118800,104280,Bachelor's degree,Less than 5 years,None,0.14064697609001406,1.6877637130801688,18.9873417721519,25.738396624472575,27.848101265822784,19.971870604781998,5.625879043600563,45.9,70.3,77.6,13.3,5.6,11.5,32.5
35,11-9121,detailed,natural sciences managers,75870,154930,137940,Bachelor's degree,5 years or more,None,0.0,0.0,25.0,6.25,37.5,12.5,12.5,0.0,0.0,0.0,0.0,0.0,0.0,5.8
36,11-9131,detailed,postmasters and mail superintendents,13880,79660,78060,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training,0.0,0.0,8.333333333333334,8.333333333333334,37.5,33.333333333333336,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,-7.7
37,11-9141,detailed,"property, real estate, and community association managers",219800,73210,59660,High school diploma or equivalent,Less than 5 years,None,0.12804097311139565,3.4571062740076823,17.285531370038413,20.230473751600513,19.718309859154928,21.638924455825865,17.41357234314981,49.6,48.5,84.7,8.6,3.5,12.9,3.1
38,11-9151,detailed,social and community service managers,155800,75140,69600,Bachelor's degree,Less than 5 years,None,0.0,3.30188679245283,20.047169811320753,24.056603773584907,25.235849056603772,16.27358490566038,11.320754716981131,46.6,72.5,75.9,18.3,2.1,10.3,15.2
39,11-9161,detailed,emergency management directors,10210,84310,76250,Bachelor's degree,5 years or more,None,0.0,0.0,8.333333333333334,25.0,33.333333333333336,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2
40,11-9171,detailed,funeral home managers,10010,91530,74200,Associate's degree,Less than 5 years,None,0.0,0.0,0.0,20.0,30.0,30.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2
41,11-9198,detailed,"personal service managers, all other; entertainment and recreation managers, except gambling; and managers, all other",469160,123980,116350,Bachelor's degree,Less than 5 years,None,3.568592705232403,8.834413006355405,22.536092145723664,21.23373975639143,20.107977521544914,17.0949080106322,6.597297802740213,26.74048913043478,28.98967391304348,49.62635869565217,7.212228260869565,3.900951086956522,10.468342391304347,7.4
42,13-1000,minor,business operations specialists,5632020,78320,71450,No formal educational credential,None,None,3.568592705232403,8.834413006355405,22.536092145723664,21.23373975639143,20.107977521544914,17.0949080106322,6.597297802740213,26.74048913043478,28.98967391304348,49.62635869565217,7.212228260869565,3.900951086956522,10.468342391304347,9.3
43,13-1011,detailed,"agents and business managers of artists, performers, and athletes",16240,98070,75420,Bachelor's degree,Less than 5 years,None,0.0,0.0,33.333333333333336,27.77777777777778,19.444444444444443,11.11111111111111,8.333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,46.3
44,13-1020,broad,buyers and purchasing agents,419920,72370,66690,Bachelor's degree,None,Moderate-term on-the-job training,3.568592705232403,8.834413006355405,22.536092145723664,21.23373975639143,20.107977521544914,17.0949080106322,6.597297802740213,26.74048913043478,28.98967391304348,49.62635869565217,7.212228260869565,3.900951086956522,10.468342391304347,-5.4
45,13-1020,detailed,buyers and purchasing agents,419920,72370,66690,Bachelor's degree,None,Moderate-term on-the-job training,3.568592705232403,8.834413006355405,22.536092145723664,21.23373975639143,20.107977521544914,17.0949080106322,6.597297802740213,26.74048913043478,28.98967391304348,49.62635869565217,7.212228260869565,3.900951086956522,10.468342391304347,-5.4
46,13-1030,broad,"claims adjusters, appraisers, examiners, and investigators",300380,70560,68130,No formal educational credential,None,None,0.0,5.142857142857143,23.428571428571427,20.285714285714285,27.714285714285715,18.857142857142858,4.571428571428571,44.5,60.4,71.6,19.8,4.5,15.0,-2.6
47,13-1031,detailed,"claims adjusters, examiners, and investigators",287150,70650,68270,High school diploma or equivalent,None,Long-term on-the-job training,3.568592705232403,8.834413006355405,22.536092145723664,21.23373975639143,20.107977521544914,17.0949080106322,6.597297802740213,26.74048913043478,28.98967391304348,49.62635869565217,7.212228260869565,3.900951086956522,10.468342391304347,-2.7
48,13-1032,detailed,"insurance appraisers, auto damage",13220,68540,65550,Postsecondary nondegree award,None,Moderate-term on-the-job training,3.568592705232403,8.834413006355405,22.536092145723664,21.23373975639143,20.107977521544914,17.0949080106322,6.597297802740213,26.74048913043478,28.98967391304348,49.62635869565217,7.212228260869565,3.900951086956522,10.468342391304347,0.6
49,13-1041,detailed,compliance officers,327360,75620,71100,Bachelor's degree,None,Moderate-term on-the-job training,0.32786885245901637,1.3114754098360655,19.672131147540984,25.901639344262296,26.557377049180328,20.327868852459016,5.573770491803279,45.5,57.1,75.4,12.0,7.5,8.6,6.2
50,13-1051,detailed,cost estimators,199360,72960,66610,Bachelor's degree,None,Moderate-term on-the-job training,0.0,3.3057851239669422,21.487603305785125,22.31404958677686,26.446280991735538,15.702479338842975,11.570247933884298,45.7,15.0,93.7,2.9,2.0,14.1,0.6
51,13-1070,broad,human resources workers,718120,69950,64070,No formal educational credential,None,None,0.3605769230769231,6.1298076923076925,30.048076923076923,22.235576923076923,20.79326923076923,16.346153846153847,3.9663461538461537,40.9,74.3,76.9,13.0,5.8,15.1,9.0
52,13-1071,detailed,human resources specialists,647810,69430,63490,Bachelor's degree,None,None,3.568592705232403,8.834413006355405,22.536092145723664,21.23373975639143,20.107977521544914,17.0949080106322,6.597297802740213,26.74048913043478,28.98967391304348,49.62635869565217,7.212228260869565,3.900951086956522,10.468342391304347,10.4
53,13-1074,detailed,farm labor contractors,0,50300,47780,No formal educational credential,Less than 5 years,Short-term on-the-job training,3.568592705232403,8.834413006355405,22.536092145723664,21.23373975639143,20.107977521544914,17.0949080106322,6.597297802740213,26.74048913043478,28.98967391304348,49.62635869565217,7.212228260869565,3.900951086956522,10.468342391304347,10.6
54,13-1075,detailed,labor relations specialists,70050,74870,73240,Bachelor's degree,Less than 5 years,None,3.568592705232403,8.834413006355405,22.536092145723664,21.23373975639143,20.107977521544914,17.0949080106322,6.597297802740213,26.74048913043478,28.98967391304348,49.62635869565217,7.212228260869565,3.900951086956522,10.468342391304347,-4.3
55,13-1081,detailed,logisticians,184230,79830,76270,Bachelor's degree,None,None,0.0,2.7210884353741496,29.25170068027211,21.08843537414966,23.80952380952381,17.006802721088434,5.442176870748299,42.9,38.1,82.6,11.8,4.4,20.6,29.5
56,13-1111,detailed,management analysts,734000,97580,87660,Bachelor's degree,Less than 5 years,None,0.10030090270812438,4.112337011033099,23.67101303911735,20.86258776328987,20.962888665997994,18.655967903711133,11.634904714142428,45.3,42.7,77.8,8.4,11.9,9.3,13.7
57,13-1121,detailed,"meeting, convention, and event planners",109800,55890,51560,Bachelor's degree,None,None,0.847457627118644,8.474576271186441,34.74576271186441,22.033898305084747,19.491525423728813,11.864406779661017,2.542372881355932,38.8,73.7,85.8,7.7,4.8,11.9,17.5
58,13-1131,detailed,fundraisers,82140,64550,59610,Bachelor's degree,None,None,0.0,4.040404040404041,27.272727272727273,21.21212121212121,22.22222222222222,17.171717171717173,8.080808080808081,43.7,74.8,85.0,3.7,8.4,7.4,15.9
59,13-1141,detailed,"compensation, benefits, and job analysis specialists",87870,72610,67190,Bachelor's degree,Less than 5 years,None,1.3513513513513513,6.756756756756757,18.91891891891892,17.56756756756757,22.972972972972972,28.37837837837838,4.054054054054054,47.7,76.0,84.6,11.2,2.2,9.7,9.6
60,13-1151,detailed,training and development specialists,318040,67440,62700,Bachelor's degree,Less than 5 years,None,0.8695652173913043,2.608695652173913,19.130434782608695,29.565217391304348,25.217391304347824,17.391304347826086,6.086956521739131,44.0,57.1,82.1,13.2,2.7,14.1,10.8
61,13-1161,detailed,market research analysts and marketing specialists,690160,73970,65810,Bachelor's degree,None,None,0.91324200913242,12.557077625570777,36.757990867579906,20.319634703196346,18.72146118721461,7.30593607305936,3.65296803652968,36.5,58.6,82.8,6.5,8.1,9.1,22.1
62,13-1198,detailed,"project management specialists and business operations specialists, all other",1444420,84290,77420,Bachelor's degree,None,None,3.568592705232403,8.834413006355405,22.536092145723664,21.23373975639143,20.107977521544914,17.0949080106322,6.597297802740213,26.74048913043478,28.98967391304348,49.62635869565217,7.212228260869565,3.900951086956522,10.468342391304347,5.6
63,13-2000,minor,financial specialists,2755470,85510,73840,No formal educational credential,None,None,3.568592705232403,8.834413006355405,22.536092145723664,21.23373975639143,20.107977521544914,17.0949080106322,6.597297802740213,26.74048913043478,28.98967391304348,49.62635869565217,7.212228260869565,3.900951086956522,10.468342391304347,5.2
64,13-2011,detailed,accountants and auditors,1274620,81660,73560,Bachelor's degree,None,None,0.294811320754717,4.245283018867925,27.47641509433962,21.16745283018868,21.16745283018868,18.160377358490567,7.429245283018868,44.0,59.7,77.3,9.5,11.2,10.2,6.9
65,13-2020,broad,property appraisers and assessors,55990,65630,58650,Bachelor's degree,None,Long-term on-the-job training,0.0,2.3255813953488373,10.465116279069768,17.441860465116278,24.41860465116279,30.232558139534884,16.27906976744186,52.1,29.7,96.5,2.3,1.2,6.0,4.4
66,13-2020,detailed,property appraisers and assessors,55990,65630,58650,Bachelor's degree,None,Long-term on-the-job training,0.0,2.3255813953488373,10.465116279069768,17.441860465116278,24.41860465116279,30.232558139534884,16.27906976744186,52.1,29.7,96.5,2.3,1.2,6.0,4.4
67,13-2031,detailed,budget analysts,49260,82690,78970,Bachelor's degree,None,None,0.0,0.0,25.0,15.0,28.333333333333332,28.333333333333332,1.6666666666666667,48.3,53.2,69.6,13.9,7.6,14.9,4.8
68,13-2041,detailed,credit analysts,72090,86170,74970,Bachelor's degree,None,None,0.0,20.0,36.666666666666664,23.333333333333332,16.666666666666668,3.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.8
69,13-2052,detailed,personal financial advisors,218050,122490,89330,Bachelor's degree,None,Long-term on-the-job training,0.0,5.447470817120623,26.264591439688715,22.762645914396888,18.8715953307393,18.48249027237354,8.171206225680933,43.7,34.0,78.5,7.9,10.7,8.2,4.6
70,13-2053,detailed,insurance underwriters,101790,80390,71790,Bachelor's degree,None,Moderate-term on-the-job training,0.0,2.9411764705882355,20.58823529411765,21.568627450980394,25.49019607843137,24.50980392156863,3.9215686274509802,47.2,58.0,78.6,9.3,6.2,11.9,-1.8
71,13-2061,detailed,financial examiners,68210,92730,81430,Bachelor's degree,None,Long-term on-the-job training,0.0,8.0,28.0,28.0,12.0,20.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,17.9
72,13-2070,broad,credit counselors and loan officers,339470,74490,61640,No formal educational credential,None,None,0.5,7.0,23.5,25.25,23.5,16.5,4.0,42.4,54.4,79.0,13.1,4.7,12.4,2.1
73,13-2071,detailed,credit counselors,30770,49940,46170,Bachelor's degree,None,Moderate-term on-the-job training,3.568592705232403,8.834413006355405,22.536092145723664,21.23373975639143,20.107977521544914,17.0949080106322,6.597297802740213,26.74048913043478,28.98967391304348,49.62635869565217,7.212228260869565,3.900951086956522,10.468342391304347,9.0
74,13-2072,detailed,loan officers,308700,76930,63960,Bachelor's degree,Less than 5 years,Moderate-term on-the-job training,3.568592705232403,8.834413006355405,22.536092145723664,21.23373975639143,20.107977521544914,17.0949080106322,6.597297802740213,26.74048913043478,28.98967391304348,49.62635869565217,7.212228260869565,3.900951086956522,10.468342391304347,1.3
75,13-2080,broad,"tax examiners, collectors and preparers, and revenue agents",115750,57000,50580,No formal educational credential,None,None,3.568592705232403,8.834413006355405,22.536092145723664,21.23373975639143,20.107977521544914,17.0949080106322,6.597297802740213,26.74048913043478,28.98967391304348,49.62635869565217,7.212228260869565,3.900951086956522,10.468342391304347,-0.5
76,13-2081,detailed,"tax examiners and collectors, and revenue agents",53150,62040,55640,Bachelor's degree,None,Moderate-term on-the-job training,0.0,8.19672131147541,9.836065573770492,24.59016393442623,26.229508196721312,26.229508196721312,6.557377049180328,47.4,57.9,76.6,14.5,5.8,15.9,-3.7
77,13-2082,detailed,tax preparers,62600,52710,44300,High school diploma or equivalent,None,Moderate-term on-the-job training,0.0,3.125,14.583333333333334,23.958333333333332,12.5,26.041666666666668,19.791666666666668,50.4,67.6,81.9,13.9,3.9,17.4,1.6
78,13-2098,detailed,"financial and investment analysts, financial risk specialists, and financial specialists, all other",460250,96630,83660,Bachelor's degree,None,None,3.568592705232403,8.834413006355405,22.536092145723664,21.23373975639143,20.107977521544914,17.0949080106322,6.597297802740213,26.74048913043478,28.98967391304348,49.62635869565217,7.212228260869565,3.900951086956522,10.468342391304347,6.4
79,15-1200,minor,computer occupations,4368000,96630,91250,No formal educational credential,None,None,3.568592705232403,8.834413006355405,22.536092145723664,21.23373975639143,20.107977521544914,17.0949080106322,6.597297802740213,26.74048913043478,28.98967391304348,49.62635869565217,7.212228260869565,3.900951086956522,10.468342391304347,13.4
80,15-1210,broad,computer and information analysts,712460,100680,95490,No formal educational credential,None,None,3.568592705232403,8.834413006355405,22.536092145723664,21.23373975639143,20.107977521544914,17.0949080106322,6.597297802740213,26.74048913043478,28.98967391304348,49.62635869565217,7.212228260869565,3.900951086956522,10.468342391304347,12.0
81,15-1211,detailed,computer systems analysts,574450,99020,93730,Bachelor's degree,None,None,0.3367003367003367,6.902356902356902,29.292929292929294,23.737373737373737,20.2020202020202,16.32996632996633,3.1986531986531985,40.9,35.6,68.0,9.7,18.7,8.1,7.0
82,15-1212,detailed,information security analysts,138000,107580,103590,Bachelor's degree,Less than 5 years,None,0.0,5.839416058394161,27.73722627737226,28.467153284671532,18.978102189781023,13.86861313868613,4.37956204379562,41.2,11.4,79.8,11.9,6.9,15.8,33.3
83,15-1221,detailed,computer and information research scientists,30220,130890,126830,Master's degree,None,None,0.0,7.142857142857143,33.333333333333336,21.428571428571427,21.428571428571427,11.904761904761905,4.761904761904762,0.0,0.0,0.0,0.0,0.0,0.0,21.9
84,15-1230,broad,computer support specialists,819040,60160,55510,No formal educational credential,None,None,1.3636363636363635,6.0606060606060606,28.78787878787879,26.060606060606062,20.303030303030305,14.393939393939394,2.878787878787879,40.7,25.9,72.2,13.0,10.7,11.6,8.6
85,15-1231,detailed,computer network support specialists,184220,71040,65450,Associate's degree,None,None,3.568592705232403,8.834413006355405,22.536092145723664,21.23373975639143,20.107977521544914,17.0949080106322,6.597297802740213,26.74048913043478,28.98967391304348,49.62635869565217,7.212228260869565,3.900951086956522,10.468342391304347,7.5
86,15-1232,detailed,computer user support specialists,634820,57000,52690,"Some college, no degree",None,None,3.568592705232403,8.834413006355405,22.536092145723664,21.23373975639143,20.107977521544914,17.0949080106322,6.597297802740213,26.74048913043478,28.98967391304348,49.62635869565217,7.212228260869565,3.900951086956522,10.468342391304347,8.9
87,15-1240,broad,database and network administrators and architects,632540,99420,94380,No formal educational credential,None,None,3.568592705232403,8.834413006355405,22.536092145723664,21.23373975639143,20.107977521544914,17.0949080106322,6.597297802740213,26.74048913043478,28.98967391304348,49.62635869565217,7.212228260869565,3.900951086956522,10.468342391304347,6.0
88,15-1241,detailed,computer network architects,159350,119230,116780,Bachelor's degree,5 years or more,None,0.0,0.9345794392523364,18.69158878504673,31.77570093457944,35.51401869158879,12.149532710280374,1.8691588785046729,43.8,9.3,67.8,14.8,15.5,16.1,5.5
89,15-1244,detailed,network and computer systems administrators,339560,89460,84810,Bachelor's degree,None,None,0.0,2.9411764705882355,22.689075630252102,31.092436974789916,26.050420168067227,12.605042016806722,4.621848739495798,42.8,19.8,77.3,9.0,11.8,7.8,5.4
90,15-1245,detailed,database administrators and architects,133630,101090,98860,Bachelor's degree,None,None,0.0,5.785123966942149,27.272727272727273,19.834710743801654,29.75206611570248,12.396694214876034,4.958677685950414,42.3,28.8,62.1,5.9,30.1,5.6,7.8
91,15-1250,broad,"software and web developers, programmers, and testers",1811160,109950,105310,No formal educational credential,None,None,3.568592705232403,8.834413006355405,22.536092145723664,21.23373975639143,20.107977521544914,17.0949080106322,6.597297802740213,26.74048913043478,28.98967391304348,49.62635869565217,7.212228260869565,3.900951086956522,10.468342391304347,18.7
92,15-1251,detailed,computer programmers,178140,95640,89190,Bachelor's degree,None,None,0.7194244604316546,4.556354916067146,24.46043165467626,26.139088729016787,19.424460431654676,21.34292565947242,3.597122302158273,43.1,21.1,63.9,6.3,28.3,6.6,-9.9
93,15-1256,detailed,software developers and software quality assurance analysts and testers,1476800,114270,110140,Bachelor's degree,None,None,3.568592705232403,8.834413006355405,22.536092145723664,21.23373975639143,20.107977521544914,17.0949080106322,6.597297802740213,26.74048913043478,28.98967391304348,49.62635869565217,7.212228260869565,3.900951086956522,10.468342391304347,22.2
94,15-1257,detailed,web developers and digital interface designers,156220,85490,77200,Bachelor's degree,None,None,3.568592705232403,8.834413006355405,22.536092145723664,21.23373975639143,20.107977521544914,17.0949080106322,6.597297802740213,26.74048913043478,28.98967391304348,49.62635869565217,7.212228260869565,3.900951086956522,10.468342391304347,12.8
95,15-1299,detailed,"computer occupations, all other",362580,96740,92870,Bachelor's degree,None,None,0.3787878787878788,6.4393939393939394,25.126262626262626,29.41919191919192,21.338383838383837,14.772727272727273,2.525252525252525,41.5,28.0,67.3,13.3,15.8,11.2,9.2
96,15-2000,minor,mathematical science occupations,219700,99700,93170,No formal educational credential,None,None,3.568592705232403,8.834413006355405,22.536092145723664,21.23373975639143,20.107977521544914,17.0949080106322,6.597297802740213,26.74048913043478,28.98967391304348,49.62635869565217,7.212228260869565,3.900951086956522,10.468342391304347,28.0
97,15-2011,detailed,actuaries,22480,123180,111030,Bachelor's degree,None,Long-term on-the-job training,0.0,3.125,28.125,34.375,18.75,15.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.5
98,15-2021,detailed,mathematicians,2460,112530,110860,Master's degree,None,None,0.0,0.0,33.333333333333336,0.0,0.0,33.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7
99,15-2031,detailed,operations research analysts,96220,92280,86200,Bachelor's degree,None,None,0.0,5.128205128205129,22.435897435897434,20.512820512820515,23.71794871794872,24.358974358974358,2.5641025641025643,44.9,42.9,77.5,13.6,8.6,9.5,24.6
